alpha,n_cal,qhat_1080Lines,qhat_1400Ripples,qhat_Air_Compressor,qhat_Blip,qhat_Chirp,qhat_Extremely_Loud,qhat_Helix,qhat_Koi_Fish,qhat_Light_Modulation,qhat_Low_Frequency_Burst,qhat_Low_Frequency_Lines,qhat_No_Glitch,qhat_None_of_the_Above,qhat_Paired_Doves,qhat_Power_Line,qhat_Repeating_Blips,qhat_Scattered_Light,qhat_Scratchy,qhat_Tomte,qhat_Violin_Mode,qhat_Wandering_Line,qhat_Whistle
0.51959999999999995,16333,0.00089871883399994523,0.013884842395999963,0.29823875427246105,0.0062628388400000068,0.99990406125289155,0.04643374681500001,0.99911216908367395,0.0092610716819999661,0.91600733250379995,0.31205487251300001,0.021893382071999978,0.36243695020699995,0.020028173923491988,0.96420327574010001,0.00010126829099998957,0.39827203750600004,3.5107135999967731e-05,4.4822692999990643e-05,0.53638175129900001,0.74015885591500008,0.99983777762099602,0.00040310621299999294
0.53920000000000001,16333,0.00079733133299997316,0.011267542839,0.252341091633,0.0054490566249999484,0.99988616695191024,0.042098760604999952,0.99888169777114,0.0063954591749999512,0.87818916141986803,0.25784552097299995,0.020511627196999949,0.33378571271900004,0.018338143825531006,0.95810584723949432,5.1259994999997005e-05,0.32351678609800005,3.0875205999980615e-05,3.3795833999983316e-05,0.50512203574199999,0.60077175498000002,0.99980426362890296,0.00033009052300003727
0.55879999999999996,16333,0.00063580274599994713,0.0098306536669999778,0.22372126579284701,0.0047751069070000041,0.99985989960259758,0.038867175578999991,0.99859056563582005,0.0046935677530000053,0.80601471662521407,0.216689050198,0.019346475601000002,0.316884219646,0.016589343547821045,0.94569248706102371,3.4093857000039307e-05,0.27928215265300005,2.3305416000041212e-05,2.5272368999962325e-05,0.46835201978700003,0.47545611858400005,0.99976604172843497,0.00028222799300003931
0.57840000000000003,16333,0.00050246715500001926,0.0087046027179999985,0.19959217309999999,0.0041308999060000184,0.99983599135885015,0.035743713378999953,0.99818026681896299,0.0040581226350000499,0.71424704790100002,0.19004404544800002,0.017619490622999945,0.27670282125500001,0.015275955200195201,0.9247618168592453,2.217292799999715e-05,0.20541942119599998,1.9907951000042168e-05,1.7344952000009073e-05,0.42820709943799995,0.37764179706599998,0.99969759810483105,0.00021618604700002209
0.59799999999999998,16333,0.00039869546899995445,0.0075159072880000011,0.16613006591796897,0.0036406517029999863,0.99980516852519952,0.033349096774999976,0.99766639457084005,0.0031134486199999589,0.60780936479568504,0.16294056177100003,0.015791773796000053,0.25871938467,0.013738334178925005,0.90202894806860001,1.6868114000034851e-05,0.15938943624500002,1.5795231000037546e-05,1.2457370999974238e-05,0.39018577337299998,0.30639398098000004,0.99964013713179201,0.00017273426099995159
0.61760000000000004,16333,0.00034552812599997207,0.0062559843060000508,0.15057688951500003,0.0032680034640000244,0.99975830376206398,0.028979480267000035,0.99720601318404001,0.0027028322219999623,0.42987972497899996,0.13736838102299997,0.014011263847000022,0.23581457138100004,0.012446761131286954,0.86493110656700001,1.3232231000026573e-05,0.12953233718900004,1.2636185000025613e-05,9.1791149999798094e-06,0.35663545131700003,0.17494821548499995,0.99951949375099503,0.00013881921799996366
0.63719999999999999,16333,0.00031137466399999703,0.005333781242000013,0.13062292337417603,0.0029533505440000329,0.99970541617949504,0.026238679886000038,0.99667503614910002,0.0020213723180000365,0.25363314151799998,0.11501282453499995,0.012960910797000014,0.20086705684700001,0.010924339294433594,0.81439867615699801,1.0251998999954992e-05,0.10593771934499996,9.1791149999798094e-06,6.3180920000238672e-06,0.33056902885399997,0.12948906421700002,0.99937051441520497,0.00010955333700002345
0.65679999999999994,16333,0.00024408101999995324,0.0045070052150000262,0.11683076620101895,0.0026352405549999736,0.99964319064747498,0.024270653725000035,0.99587459024042002,0.0016359090809999755,0.12830430269199999,0.089064717293000029,0.01192820072199996,0.18344491720199996,0.0096279382705689587,0.77098393440199997,7.4505810000458084e-06,0.082462191581999966,7.3909759999990499e-06,4.5299530000431076e-06,0.30202710628499996,0.069456577300999967,0.99927400215528905,8.6367129999986858e-05
0.6764,16333,0.00019645690900005341,0.0038807988169999863,0.10577595233917203,0.0023404359819999554,0.99956772610312328,0.022239565848999998,0.99488453799859,0.0013075470919999832,0.087035536766052024,0.067425906657999968,0.011114656925000022,0.17000627517699995,0.0085646510124209874,0.71934166550599998,5.7220460000229068e-06,0.06795817613599997,6.1988830000192507e-06,3.5166740000036611e-06,0.27294659614600003,0.048631966114000003,0.99903347558574795,7.1823596999975869e-05
0.69599999999999995,16333,0.00015062093700002332,0.0033146739010000426,0.091575801372527965,0.0020951032639999756,0.99945992417633545,0.020115554333000052,0.99375533917919001,0.0010696649550000492,0.062992274761,0.046711862086999956,0.01010602712599995,0.14768576621999996,0.0077530145645140491,0.67112872004500002,4.1127200000046216e-06,0.049109756947000038,5.2452090000265628e-06,2.5630000000109732e-06,0.25812196731600001,0.027736008166999948,0.99857194162905216,6.1690807000025494e-05
